NAME,FUNCTION LOCATION,DESCRIPTION,PARAMETERS,RETURNS,DEPENDANCY,DEPENDANCY LOCATION
"_expandtabs_dispatcher(a, tabsize=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,,,,_expandtabs_dispatcher ; expandtabs ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; size ; size ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;Argument ;
"expandtabs(a, tabsize=8):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Return a copy of each string element where all tab characters are    replaced by one or more spaces.    Calls `str.expandtabs` element-wise.    Return a copy of each string element where all tab characters are    replaced by one or more spaces, depending on the current column    and the given `tabsize`. The column number is reset to zero after    each newline occurring in the string. This doesn't understand other    non-printing characters or escape sequences.","a : array_like of str or unicode        Input array    tabsize : int, optional        Replace tabs with `tabsize` number of spaces.  If not given defaults        to 8 spaces.","out : ndarray        Output array of str or unicode, depending on input type",all ; where ; copy ; tri ; where ; replace ; replace ; place ; expandtabs ; all ; all ; where ; copy ; tri ; where ; replace ; replace ; place ; size ; size ; tri ; eq ; array ; array ; array ; put ; array ; put ; size ; size ; size ; place ; size ; array ; array ; array ; put ; array ; put ; expandtabs ; _to_string_or_unicode_array ; array ; tri ; array ; expandtabs ; size ; tri ; size ; _count_dispatcher ; count ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
"find(a, sub, start=0, end=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     For each element, return the lowest index in the string where    substring `sub` is found.    Calls `str.find` element-wise.    For each element, return the lowest index in the string where    substring `sub` is found, such that `sub` is contained in the    range [`start`, `end`].",a : array_like of str or unicode,out : ndarray or int        Output array of ints.  Returns -1 if `sub` is not found.,index ; where ; tri ; where ; tri ; find ; all ; index ; where ; tri ; where ; tri ; array ; array ; interp ; array ; array ; array ; put ; array ; put ; find ; tri ; _clean_args ; find ; _count_dispatcher ; count ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Return ;Return ;Return ;Return ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
"index(a, sub, start=0, end=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Like `find`, but raises `ValueError` when the substring is not found.    Calls `str.index` element-wise.",a : array_like of str or unicode,out : ndarray        Output array of ints.  Returns -1 if `sub` is not found.,find ; tri ; raises ; index ; all ; array ; array ; array ; array ; array ; put ; array ; put ; find ; tri ; _clean_args ; index ; _unary_op_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
isalnum(a):,https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Returns true for each element if all characters in the string are    alphanumeric and there is at least one character, false otherwise.    Calls `str.isalnum` element-wise.    For 8-bit strings, this method is locale-dependent.",a : array_like of str or unicode,"out : ndarray        Output array of str or unicode, depending on input type",all ; tri ; isalnum ; all ; tri ; array ; array ; array ; array ; array ; put ; array ; put ; isalnum ; isalnum ; tri ; _unary_op_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;
isalpha(a):,https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Returns true for each element if all characters in the string are    alphabetic and there is at least one character, false otherwise.    Calls `str.isalpha` element-wise.    For 8-bit strings, this method is locale-dependent.",a : array_like of str or unicode,out : ndarray        Output array of bools,all ; tri ; isalpha ; all ; tri ; array ; array ; array ; array ; array ; put ; array ; put ; isalpha ; isalpha ; tri ; _unary_op_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;
isdigit(a):,https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Returns true for each element if all characters in the string are    digits and there is at least one character, false otherwise.    Calls `str.isdigit` element-wise.    For 8-bit strings, this method is locale-dependent.",a : array_like of str or unicode,out : ndarray        Output array of bools,all ; tri ; isdigit ; all ; tri ; array ; array ; array ; array ; array ; put ; array ; put ; isdigit ; isdigit ; tri ; _unary_op_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; lower ; slow ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;Argument ;
islower(a):,https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Returns true for each element if all cased characters in the    string are lowercase and there is at least one cased character,    false otherwise.    Calls `str.islower` element-wise.    For 8-bit strings, this method is locale-dependent.",a : array_like of str or unicode,out : ndarray        Output array of bools,all ; lower ; tri ; islower ; lower ; all ; slow ; tri ; array ; array ; array ; array ; array ; put ; array ; put ; islower ; lower ; slow ; islower ; lower ; tri ; slow ; _unary_op_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;
isspace(a):,https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Returns true for each element if there are only whitespace    characters in the string and there is at least one character,    false otherwise.    Calls `str.isspace` element-wise.    For 8-bit strings, this method is locale-dependent.",a : array_like of str or unicode,out : ndarray        Output array of bools,tri ; isspace ; all ; tri ; array ; array ; array ; array ; array ; put ; array ; put ; isspace ; isspace ; tri ; _unary_op_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; title ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;
istitle(a):,https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Returns true for each element if the element is a titlecased    string and there is at least one character, false otherwise.    Call `str.istitle` element-wise.    For 8-bit strings, this method is locale-dependent.",a : array_like of str or unicode,out : ndarray        Output array of bools,title ; tri ; istitle ; title ; all ; tri ; array ; array ; array ; array ; array ; put ; array ; put ; istitle ; title ; istitle ; title ; tri ; _unary_op_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; upper ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;
isupper(a):,https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Returns true for each element if all cased characters in the    string are uppercase and there is at least one character, false    otherwise.    Call `str.isupper` element-wise.    For 8-bit strings, this method is locale-dependent.",a : array_like of str or unicode,out : ndarray        Output array of bools,all ; upper ; tri ; isupper ; upper ; all ; tri ; array ; array ; array ; array ; array ; put ; array ; put ; isupper ; upper ; isupper ; upper ; tri ; join ; disp ; _dispatcher ; eq ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Argument ;Argument ;Argument ;Argument ;
"_join_dispatcher(sep, seq):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,,,,eq ; _join_dispatcher ; join ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; eq ; ,Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;
"join(sep, seq):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,     Return a string which is the concatenation of the strings in the    sequence `seq`.    Calls `str.join` element-wise.,sep : array_like of str or unicode    seq : array_like of str or unicode,"out : ndarray        Output array of str or unicode, depending on input types",tri ; eq ; join ; all ; array ; array ; array ; eq ; array ; array ; array ; array ; put ; array ; put ; join ; _to_string_or_unicode_array ; array ; tri ; array ; join ; tri ; eq ; disp ; _dispatcher ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Body ;Body ;Body ;Argument ;Argument ;
"_just_dispatcher(a, width, fillchar=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,,,,_just_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Body ;Body ;Body ;Body ;Body ;Body ;
"ljust(a, width, fillchar=' '):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,     Return an array with the elements of `a` left-justified in a    string of length `width`.    Calls `str.ljust` element-wise.,a : array_like of str or unicode,"out : ndarray        Output array of str or unicode, depending on input type",array ; array ; tri ; ljust ; all ; array ; array ; tri ; add ; array ; array ; array ; put ; array ; put ; ljust ; asarray ; array ; array ; asarray ; asarray ; array ; array ; asarray ; size ; max ; size ; issubdtype ; tri ; dtype ; tri ; ljust ; size ; size ; dtype ; _unary_op_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
lower(a):,https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Return an array with the elements converted to lowercase.    Call `str.lower` element-wise.    For 8-bit strings, this method is locale-dependent.","a : array_like, {str, unicode}        Input array.","out : ndarray, {str, unicode}        Output array of str or unicode, depending on input type",lower ; array ; conv ; array ; lower ; all ; tri ; array ; array ; array ; put ; array ; put ; array ; array ; array ; put ; array ; put ; lower ; array ; array ; array ; array ; dtype ; lower ; array ; array ; dtype ; asarray ; array ; array ; asarray ; lower ; tri ; dtype ; strip ; disp ; tri ; _dispatcher ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Argument ;Argument ;Argument ;Argument ;
"_strip_dispatcher(a, chars=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,,,,_strip_dispatcher ; _strip_dispatcher ; strip ; array ; array_function_dispatch ; disp ; tri ; _dispatcher ; array ; strip ; tri ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;Argument ;
"lstrip(a, chars=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     For each element in `a`, return a copy with the leading characters    removed.    Calls `str.lstrip` element-wise.","a : array-like, {str, unicode}        Input array.","out : ndarray, {str, unicode}        Output array of str or unicode, depending on input type",copy ; lstrip ; strip ; all ; tri ; array ; array ; array ; put ; array ; put ; tri ; all ; fix ; strip ; tri ; array ; array ; array ; put ; array ; put ; lstrip ; strip ; tri ; array ; array ; array ; array ; dtype ; strip ; var ; tri ; lstrip ; strip ; tri ; array ; array ; dtype ; lstrip ; strip ; tri ; array ; array ; dtype ; lstrip ; strip ; all ; tri ; mod ; lstrip ; strip ; all ; tri ; lstrip ; strip ; all ; tri ; asarray ; array ; array ; asarray ; lstrip ; strip ; tri ; dtype ; partition ; partition ; disp ; _dispatcher ; ,Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Argument ;Argument ;Argument ;Argument ;
"_partition_dispatcher(a, sep):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,,,,_partition_dispatcher ; partition ; array ; _partition_dispatcher ; partition ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
"partition(a, sep):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Partition each element in `a` around `sep`.    Calls `str.partition` element-wise.    For each element in `a`, split the element as the first    occurrence of `sep`, and return 3 strings containing the part    before the separator, the separator itself, and the part after    the separator. If the separator is not found, return 3 strings    containing the string itself, followed by two empty strings.","a : array_like, {str, unicode}        Input array    sep : {str, unicode}        Separator to split each string element in `a`.","out : ndarray, {str, unicode}        Output array of str or unicode, depending on input type.        The output array will have an extra dimension with 3        elements per input element.",around ; partition ; partition ; all ; split ; split ; tri ; tri ; tri ; empty ; array ; array ; array ; put ; array ; put ; split ; split ; tri ; array ; array ; array ; put ; array ; put ; array ; put ; array ; put ; put ; put ; partition ; partition ; _to_string_or_unicode_array ; array ; tri ; array ; partition ; partition ; tri ; count ; replace ; replace ; place ; disp ; _dispatcher ; ,Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Body ;Body ;Body ;Argument ;Argument ;Argument ;Argument ;Argument ;Argument ;
"_replace_dispatcher(a, old, new, count=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,,,,_repl ; _replace_dispatcher ; replace ; array ; array_function_dispatch ; replace ; place ; disp ; _dispatcher ; array ; count ; place ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;Argument ;
"replace(a, old, new, count=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     For each element in `a`, return a copy of the string with all    occurrences of substring `old` replaced by `new`.    Calls `str.replace` element-wise.",a : array-like of str or unicode,"out : ndarray        Output array of str or unicode, depending on input type",all ; copy ; tri ; replace ; replace ; place ; tri ; replace ; all ; replace ; place ; array ; array ; count ; count ; count ; replace ; replace ; place ; array ; array ; array ; put ; array ; put ; replace ; replace ; place ; _to_string_or_unicode_array ; array ; tri ; array ; tri ; _clean_args ; count ; replace ; replace ; place ; _count_dispatcher ; count ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; find ; ,Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;
"rfind(a, sub, start=0, end=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     For each element in `a`, return the highest index in the string    where substring `sub` is found, such that `sub` is contained    within [`start`, `end`].    Calls `str.rfind` element-wise.",a : array-like of str or unicode,out : ndarray       Output array of ints.  Return -1 on failure.,index ; tri ; where ; tri ; where ; find ; rfind ; all ; array ; array ; interp ; array ; array ; array ; put ; array ; put ; find ; rfind ; tri ; _clean_args ; find ; rfind ; _count_dispatcher ; count ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; index ; ,Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;
"rindex(a, sub, start=0, end=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Like `rfind`, but raises `ValueError` when the substring `sub` is    not found.    Calls `str.rindex` element-wise.",a : array-like of str or unicode,out : ndarray       Output array of ints.,find ; rfind ; tri ; raises ; index ; rindex ; all ; array ; array ; array ; array ; array ; put ; array ; put ; find ; index ; rfind ; rindex ; tri ; _clean_args ; index ; rindex ; _just_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
"rjust(a, width, fillchar=' '):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,     Return an array with the elements of `a` right-justified in a    string of length `width`.    Calls `str.rjust` element-wise.,a : array_like of str or unicode,"out : ndarray        Output array of str or unicode, depending on input type",array ; array ; tri ; rjust ; all ; array ; array ; tri ; add ; array ; array ; array ; put ; array ; put ; rjust ; asarray ; array ; array ; asarray ; asarray ; array ; array ; asarray ; size ; max ; size ; issubdtype ; tri ; dtype ; tri ; rjust ; size ; size ; dtype ; _partition_dispatcher ; partition ; array ; _partition_dispatcher ; partition ; array_function_dispatch ; disp ; _dispatcher ; array ; partition ; partition ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;Argument ;
"rpartition(a, sep):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Partition (split) each element around the right-most separator.    Calls `str.rpartition` element-wise.    For each element in `a`, split the element as the last    occurrence of `sep`, and return 3 strings containing the part    before the separator, the separator itself, and the part after    the separator. If the separator is not found, return 3 strings    containing the string itself, followed by two empty strings.",a : array_like of str or unicode        Input array    sep : str or unicode        Right-most separator to split each element in array.,"out : ndarray        Output array of string or unicode, depending on input        type.  The output array will have an extra dimension with        3 elements per input element.",split ; around ; split ; partition ; rpartition ; partition ; all ; split ; split ; tri ; tri ; tri ; empty ; array ; array ; array ; put ; array ; put ; split ; array ; split ; array ; array ; array ; array ; put ; tri ; array ; put ; array ; put ; array ; put ; put ; put ; partition ; rpartition ; partition ; _to_string_or_unicode_array ; array ; tri ; array ; partition ; rpartition ; partition ; tri ; split ; disp ; split ; _dispatcher ; max ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Argument ;Argument ;Argument ;Argument ;Argument ;
"_split_dispatcher(a, sep=None, maxsplit=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,,,,_split_dispatcher ; split ; array ; array_function_dispatch ; disp ; _split_dispatcher ; split ; _dispatcher ; array ; split ; split ; max ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;Argument ;Argument ;
"rsplit(a, sep=None, maxsplit=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     For each element in `a`, return a list of the words in the    string, using `sep` as the delimiter string.    Calls `str.rsplit` element-wise.    Except for splitting from the right, `rsplit`    behaves like `split`.",a : array_like of str or unicode,out : ndarray       Array of list objects,tri ; rsplit ; split ; all ; split ; rsplit ; split ; split ; split ; split ; array ; array ; any ; tri ; split ; split ; max ; split ; split ; max ; ones ; ones ; array ; array ; rsplit ; split ; split ; array ; size ; diff ; array ; size ; array ; array ; tri ; _clean_args ; rsplit ; split ; split ; max ; strip ; disp ; tri ; _dispatcher ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Return ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Body ;Argument ;Argument ;Argument ;Argument ;
"_strip_dispatcher(a, chars=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,,,,_strip_dispatcher ; _strip_dispatcher ; strip ; array ; array_function_dispatch ; disp ; tri ; _dispatcher ; array ; strip ; tri ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;Argument ;
"rstrip(a, chars=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     For each element in `a`, return a copy with the trailing    characters removed.    Calls `str.rstrip` element-wise.",a : array-like of str or unicode,"out : ndarray        Output array of str or unicode, depending on input type",copy ; rstrip ; strip ; all ; tri ; array ; array ; tri ; all ; fix ; strip ; tri ; array ; array ; array ; put ; array ; put ; rstrip ; strip ; tri ; array ; array ; dtype ; array ; array ; dtype ; rstrip ; strip ; tri ; array ; array ; dtype ; rstrip ; strip ; tri ; array ; array ; dtype ; asarray ; array ; array ; asarray ; rstrip ; strip ; tri ; dtype ; _split_dispatcher ; split ; array ; array_function_dispatch ; disp ; _split_dispatcher ; split ; _dispatcher ; array ; max ; ,Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;
"split(a, sep=None, maxsplit=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     For each element in `a`, return a list of the words in the    string, using `sep` as the delimiter string.    Calls `str.split` element-wise.",a : array_like of str or unicode,out : ndarray        Array of list objects,tri ; split ; all ; split ; array ; array ; any ; tri ; split ; split ; max ; split ; split ; max ; array ; array ; rsplit ; split ; split ; array ; size ; diff ; array ; size ; array ; array ; tri ; _clean_args ; split ; split ; max ; split ; splitlines ; disp ; split ; _dispatcher ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Return ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Argument ;Argument ;Argument ;Argument ;Argument ;
"_splitlines_dispatcher(a, keepends=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,,,,split ; _splitlines_dispatcher ; splitlines ; array ; array_function_dispatch ; disp ; split ; _dispatcher ; array ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;
"splitlines(a, keepends=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     For each element in `a`, return a list of the lines in the    element, breaking at line boundaries.    Calls `str.splitlines` element-wise.",a : array_like of str or unicode,out : ndarray        Array of list objects,split ; splitlines ; all ; split ; array ; array ; less ; array ; array ; split ; splitlines ; split ; tri ; _clean_args ; split ; splitlines ; split ; startswith ; disp ; _dispatcher ; fix ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Argument ;Argument ;Argument ;Argument ;
"_startswith_dispatcher(a, prefix, start=None, end=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,,,,_startswith_dispatcher ; startswith ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; fix ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;
"startswith(a, prefix, start=0, end=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Returns a boolean array which is `True` where the string element    in `a` starts with `prefix`, otherwise `False`.    Calls `str.startswith` element-wise.",a : array_like of str or unicode,out : ndarray        Array of booleans,array ; where ; tri ; array ; where ; fix ; startswith ; all ; array ; array ; fix ; array ; array ; startswith ; tri ; _clean_args ; startswith ; fix ; _strip_dispatcher ; _strip_dispatcher ; strip ; array ; array_function_dispatch ; disp ; tri ; _dispatcher ; array ; tri ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Argument ;
"strip(a, chars=None):",https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     For each element in `a`, return a copy with the leading and    trailing characters removed.    Calls `str.strip` element-wise.",a : array-like of str or unicode,"out : ndarray        Output array of str or unicode, depending on input type",copy ; strip ; all ; tri ; array ; array ; tri ; all ; fix ; strip ; tri ; array ; array ; array ; put ; array ; put ; strip ; tri ; array ; array ; array ; array ; dtype ; strip ; tri ; array ; array ; dtype ; strip ; tri ; array ; array ; dtype ; strip ; tri ; array ; array ; dtype ; asarray ; array ; array ; asarray ; _clean_args ; strip ; tri ; dtype ; _unary_op_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Return ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;
swapcase(a):,https://github.com//numpy/numpy/blob/master/numpy/core/defchararray.py,"     Return element-wise a copy of the string with    uppercase characters converted to lowercase and vice versa.    Calls `str.swapcase` element-wise.    For 8-bit strings, this method is locale-dependent.","a : array_like, {str, unicode}        Input array.","out : ndarray, {str, unicode}        Output array of str or unicode, depending on input type",copy ; tri ; lower ; upper ; conv ; swapcase ; all ; tri ; array ; array ; array ; put ; array ; put ; array ; array ; array ; put ; array ; put ; swapcase ; array ; array ; array ; array ; dtype ; swapcase ; array ; array ; dtype ; asarray ; array ; array ; asarray ; swapcase ; tri ; dtype ; _unary_op_dispatcher ; array ; array_function_dispatch ; disp ; _dispatcher ; array ; ,Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Body ;Return ;Return ;Return ;Body ;Body ;Body ;Body ;Body ;Body ;
